budget,method,objective_mode,num_prompts,certified_prompts,certified_fraction,horizon,num_shards,num_events,max_failed_prompts,certified_prompts_lower_bound,certified_fraction_lower_bound,solver,solver_status,objective_value,objective_bound,mip_gap,time_seconds,top_competitors,max_targets_per_prompt,plot_fraction,certified_percent,run_label,run_name,num_retained_prompts,num_total_rows_read,num_rows_filtered_shorter_than_horizon,padding_policy,horizon_filter_basis,family,method_label
0,aggregate_tpa_final_tool_validity,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20 top1,1b_full_final_tool_baselines_top1,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Aggregate TPA final-tool validity
0,dpa_final_tool_stability,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20 top1,1b_full_final_tool_baselines_top1,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,DPA final-tool stability
0,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500.0,490.0,0.0,77.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.0382872530026361,1.0,2.0,1.0,100.0,1B full H=20 top1,1b_full_final_tool_baselines_top1,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
0,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500.0,351.0,0.0,77.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.0773335349949775,1.0,2.0,1.0,100.0,1B full H=20 top1,1b_full_final_tool_baselines_top1,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
1,aggregate_tpa_final_tool_validity,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20 top1,1b_full_final_tool_baselines_top1,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Aggregate TPA final-tool validity
1,dpa_final_tool_stability,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20 top1,1b_full_final_tool_baselines_top1,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,DPA final-tool stability
1,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500.0,490.0,0.0,77.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.296501842996804,1.0,2.0,1.0,100.0,1B full H=20 top1,1b_full_final_tool_baselines_top1,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
1,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500.0,351.0,0.0,77.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.3753791659983108,1.0,2.0,1.0,100.0,1B full H=20 top1,1b_full_final_tool_baselines_top1,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
2,aggregate_tpa_final_tool_validity,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20 top1,1b_full_final_tool_baselines_top1,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Aggregate TPA final-tool validity
2,dpa_final_tool_stability,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20 top1,1b_full_final_tool_baselines_top1,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,DPA final-tool stability
